"File","Supabase","Square"
"netlify\functions\coupon-validate.ts","True","True"
"netlify\functions\create-square-order.ts","False","True"
"netlify\functions\list-catalog.ts","False","True"
"netlify\functions\loyalty-get-balance.ts","True","False"
"netlify\functions\loyalty-redeem-reward.ts","True","False"
"netlify\functions\loyalty-redeem.ts","True","True"
"netlify\functions\loyalty-send-otp.ts","True","False"
"netlify\functions\loyalty-verify-otp.ts","True","False"
"netlify\functions\order-get.ts","False","True"
"netlify\functions\pay-square-order.ts","False","True"
"netlify\functions\redeem-generate-code.ts","True","True"
"netlify\functions\square-webhook.ts","True","True"
